,Central Park,Robert Lehman Collection Library,Great Lawn Softball Field #1,Shakespeare Garden,The Central Park Turtle Pond,Petrie Court Cafe,South Gate House,Summit Rock,Seneca Village Site,Bridge No. 27,Tanner spring,Oak Bridge,Pinetum Playground,The Beresford,Cedar Hill,Noi Due Cafe,Dino Store
Central Park,,0,0,0,0,,0,1,,,0,,,,1,1,
Robert Lehman Collection Library,1,,,,0,,,,,,,,,,,,
Great Lawn Softball Field #1,1,,,1,0,0,,,,,,,,,,,
Shakespeare Garden,1,,1,,,,,,1,,0,,,0,,,
The Central Park Turtle Pond,0,0,1,,,,,,,,,1,,,,,1
Petrie Court Cafe,,,1,,,,1,,,,,,,,,,
South Gate House,0,,,,,0,,,,,,,,,,,
Summit Rock,0,,,,,,,,0,,,,,1,,,0
Seneca Village Site,,,,1,,,,1,,1,,,,,,,
Bridge No. 27,,,,,,,,,0,,0,0,,,,,
Tanner spring,0,,,1,,,,,,0,,0,,,0,,
Oak Bridge,,,,,0,,,,,1,0,,,1,0,,
Pinetum Playground,,,,,,,,,,,,,,,,,
The Beresford,,,,0,,,,0,,,,0,,,,1,
Cedar Hill,1,,,,,,,,,,1,1,,,,1,
Noi Due Cafe,0,,,,,,,,,,,,,0,0,,
Dino Store,,,,,1,,,1,,,,,,,,,
