,has_accessible_restroom,has_accessible_parking,has_accessible_entrance,has_rest_area
Central Park,True,True,True,False
Robert Lehman Collection Library,True,False,True,True
Great Lawn Softball Field #1,False,False,True,False
Shakespeare Garden,False,True,False,True
The Central Park Turtle Pond,True,False,True,True
Petrie Court Cafe,True,False,False,True
South Gate House,False,True,False,False
Summit Rock,False,True,True,False
Seneca Village Site,False,True,True,False
Bridge No. 27,True,False,True,False
Tanner spring,False,True,True,True
Oak Bridge,True,True,False,True
Pinetum Playground,False,True,True,False
The Beresford,False,True,False,True
Cedar Hill,True,True,False,False
Noi Due Cafe,True,True,True,True
Dino Store,False,True,True,False
East Pinetum,False,True,False,True
The Triplets Bridge,True,False,True,False
Arthur Ross Pinetum,True,True,False,False
The Ramble,False,True,True,True
Greywacke Arch,True,False,False,False
Neue Galerie New York,True,False,False,False
