,Central Park,Robert Lehman Collection Library,Great Lawn Softball Field #1,Shakespeare Garden,The Central Park Turtle Pond,Petrie Court Cafe,South Gate House,Summit Rock,Seneca Village Site,Bridge No. 27,Tanner spring,Oak Bridge,Pinetum Playground,The Beresford,Cedar Hill,Noi Due Cafe,Dino Store,East Pinetum,The Triplets Bridge,Arthur Ross Pinetum,The Ramble,Greywacke Arch,Neue Galerie New York
Central Park,,9.6,3.7,10.2,0.5,,7.6,10.7,,,8.8,,,,2.4,2.3,,,,,,,
Robert Lehman Collection Library,5.7,,,,9.1,,,,,,,,,,,,,,,,,,8.0
Great Lawn Softball Field #1,4.4,,,10.6,11.6,13.0,,,,,,,,,,,,9.5,,,,,
Shakespeare Garden,5.3,,10.3,,,,,,2.6,,5.7,,,12.6,,,,,0.5,,,,
The Central Park Turtle Pond,1.0,7.5,2.1,,,,,,,,,6.4,,,,,15.0,,,,,,
Petrie Court Cafe,,,1.4,,,,2.3,,,,,,,,,,,,,,,6.3,8.9
South Gate House,14.6,,,,,1.7,,,,,,,,,,,,,,,,,5.1
Summit Rock,6.8,,,,,,,,11.4,,,,,4.5,,,11.4,,,,,,
Seneca Village Site,,,,7.3,,,,13.2,,3.6,,,,,,,,,,,,,
Bridge No. 27,,,,,,,,,7.3,,8.0,7.1,,,,,,,,,,,
Tanner spring,13.1,,,13.9,,,,,,6.0,,7.8,,,1.0,,,,,,,,
Oak Bridge,,,,,3.5,,,,,10.6,13.6,,,3.6,2.0,,,,,,7.1,,
Pinetum Playground,,,,,,,,,,,,,,,,,,,,1.5,,,
The Beresford,,,,6.2,,,,14.8,,,,10.9,,,,2.9,,,,,,,
Cedar Hill,2.8,,,,,,,,,,13.8,12.8,,,,15.0,,,,,,,
Noi Due Cafe,13.9,,,,,,,,,,,,,7.3,13.5,,,,,,,,
Dino Store,,,,,14.8,,,11.8,,,,,,,,,,,,,,,
East Pinetum,,,14.4,,,,,,,,,,,,,,,,,,,,4.5
The Triplets Bridge,,,,8.1,,,,,,,,,,,,,,,,,,,
Arthur Ross Pinetum,,,,,,,,,,,,,8.8,,,,,,,,,,
The Ramble,,,,,,,,,,,,7.6,,,,,,,,,,,1.0
Greywacke Arch,,,,,,14.1,,,,,,,,,,,,,,,,,
Neue Galerie New York,,0.6,,,,8.8,3.1,,,,,,,,,,,5.9,,,13.9,,
