,Central Park,Robert Lehman Collection Library,Great Lawn Softball Field #1,Shakespeare Garden,The Central Park Turtle Pond,Petrie Court Cafe,South Gate House,Summit Rock,Seneca Village Site,Bridge No. 27,Tanner spring,Oak Bridge,Pinetum Playground,The Beresford,Cedar Hill,Noi Due Cafe,Dino Store,East Pinetum,The Triplets Bridge,Arthur Ross Pinetum,The Ramble,Greywacke Arch,Neue Galerie New York
Central Park,,1.1,0,3.9,0,,0,18.9,,,0.3,,,,0,4.6,,,,,,,
Robert Lehman Collection Library,27.2,,,,43.8,,,,,,,,,,,,,,,,,,0
Great Lawn Softball Field #1,2.1,,,38.5,0,0,,,,,,,,,,,,3.2,,,,,
Shakespeare Garden,0,,28.8,,,,,,34.9,,18.1,,,39.4,,,,,0,,,,
The Central Park Turtle Pond,0,0,6.2,,,,,,,,,0,,,,,0,,,,,,
Petrie Court Cafe,,,0,,,,38.7,,,,,,,,,,,,,,,0,0
South Gate House,0,,,,,22.8,,,,,,,,,,,,,,,,,0
Summit Rock,24.3,,,,,,,,0,,,,,37.4,,,0,,,,,,
Seneca Village Site,,,,0,,,,5.7,,0,,,,,,,,,,,,,
Bridge No. 27,,,,,,,,,34.0,,0,5.4,,,,,,,,,,,
Tanner spring,0,,,0,,,,,,38.7,,0,,,0,,,,,,,,
Oak Bridge,,,,,0,,,,,0,0,,,4.4,4.9,,,,,,0,,
Pinetum Playground,,,,,,,,,,,,,,,,,,,,0,,,
The Beresford,,,,24.8,,,,0.7,,,,7.5,,,,40.6,,,,,,,
Cedar Hill,11.9,,,,,,,,,,32.9,0,,,,33.7,,,,,,,
Noi Due Cafe,0,,,,,,,,,,,,,38.3,10.6,,,,,,,,
Dino Store,,,,,26.1,,,0,,,,,,,,,,,,,,,
East Pinetum,,,0,,,,,,,,,,,,,,,,,,,,0
The Triplets Bridge,,,,42.1,,,,,,,,,,,,,,,,,,,
Arthur Ross Pinetum,,,,,,,,,,,,,44.8,,,,,,,,,,
The Ramble,,,,,,,,,,,,6.0,,,,,,,,,,,16.6
Greywacke Arch,,,,,,13.6,,,,,,,,,,,,,,,,,
Neue Galerie New York,,41.9,,,,0,7.0,,,,,,,,,,,9.2,,,0,,
